date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:27	110/110	---M-Z	200	added ('OK')	text/plain	date:Thu,%2016%20May%202024%2009:25:26%20GMT	https://billsakshi.com/robots.txt		(from )
14:55:28	171336/171336	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2009:25:27%20GMT	https://billsakshi.com/	/home/ramps/Desktop/bilsakshi/billsakshi.com/index.html	(from )
14:55:28	113381/113381	---M-Z	200	added ('OK')	text/css	etag:%22608337e-1bae5-6125e1e30bbc0-gzip%22	https://billsakshi.com/wp-includes/css/dist/block-library/style.min.css?ver=6.5.3	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-includes/css/dist/block-library/style.minef10.css	(from https://billsakshi.com/)
14:55:29	739/739	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a8838516f15beb53164e920f5f009901-gzip%22	https://billsakshi.com/comments/feed/	/home/ramps/Desktop/bilsakshi/billsakshi.com/comments/feed/index.html	(from https://billsakshi.com/)
14:55:29	46872/46872	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a8838516f15beb53164e920f5f009901-gzip%22	https://billsakshi.com/feed/	/home/ramps/Desktop/bilsakshi/billsakshi.com/feed/index.html	(from https://billsakshi.com/)
14:55:29	23277/23277	---M-Z	200	added ('OK')	text/css	etag:%226186113-5aed-6187943be38f0-gzip%22	https://billsakshi.com/wp-content/themes/kadence/assets/css/global.min.css?ver=1.2.4	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/themes/kadence/assets/css/global.min9030.css	(from https://billsakshi.com/)
14:55:30	26606/26606	---M-Z	200	added ('OK')	text/css	etag:%226186114-67ee-6187943be38f0-gzip%22	https://billsakshi.com/wp-content/themes/kadence/assets/css/header.min.css?ver=1.2.4	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/themes/kadence/assets/css/header.min9030.css	(from https://billsakshi.com/)
14:55:31	33429/33429	---M-Z	200	added ('OK')	text/css	etag:%226186109-8295-6187943be3120-gzip%22	https://billsakshi.com/wp-content/themes/kadence/assets/css/content.min.css?ver=1.2.4	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/themes/kadence/assets/css/content.min9030.css	(from https://billsakshi.com/)
14:55:32	19975/19975	---M-Z	200	added ('OK')	text/css	etag:%226186111-4e07-6187943be3508-gzip%22	https://billsakshi.com/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.2.4	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/themes/kadence/assets/css/footer.min9030.css	(from https://billsakshi.com/)
14:55:33	7762/7762	---M-Z	200	added ('OK')	text/css	etag:%226900da9-1e52-618795745cf0a-gzip%22	https://billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayout.css?ver=3.2.38	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayoutd6e2.css	(from https://billsakshi.com/)
14:55:34	1477/1477	---M-Z	200	added ('OK')	text/css	etag:%226900d9f-5c5-618795745cb22-gzip%22	https://billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-column.css?ver=3.2.38	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-columnd6e2.css	(from https://billsakshi.com/)
14:55:35	3318/3318	---M-Z	200	added ('OK')	text/css	etag:%226900da3-cf6-618795745cb22-gzip%22	https://billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-iconlist.css?ver=3.2.38	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-iconlistd6e2.css	(from https://billsakshi.com/)
14:55:36	2346/2346	---M-Z	200	added ('OK')	text/css	etag:%226900d9b-92a-618795745c73a-gzip%22	https://billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-advancedbtn.css?ver=3.2.38	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-advancedbtnd6e2.css	(from https://billsakshi.com/)
14:55:37	7467/7467	---M-Z	200	added ('OK')	text/css	etag:%226900da5-1d2b-618795745cf0a-gzip%22	https://billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-infobox.css?ver=3.2.38	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-infoboxd6e2.css	(from https://billsakshi.com/)
14:55:38	866/866	---M-Z	200	added ('OK')	text/css	etag:%226900da2-362-618795745cb22-gzip%22	https://billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-icon.css?ver=3.2.38	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/plugins/kadence-blocks/dist/style-blocks-icond6e2.css	(from https://billsakshi.com/)
14:55:40	189220/189220	---M--	200	added ('OK')	image/png	etag:%2269011c7-2e324-6187957e5771b%22	https://billsakshi.com/wp-content/uploads/2021/04/bg-0.png	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/uploads/2021/04/bg-0.png	(from https://billsakshi.com/)
14:55:40	34115/34115	---M--	200	added ('OK')	image/png	etag:%22690123c-8543-618795a1cb197%22	https://billsakshi.com/wp-content/uploads/2021/04/map.png	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-content/uploads/2021/04/map.png	(from https://billsakshi.com/)
14:55:42	373314/373314	---MC-	200	added ('OK')	application/json	date:Thu,%2016%20May%202024%2009:25:41%20GMT	https://billsakshi.com/wp-json/	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-json/index.html	(from https://billsakshi.com/)
14:55:42	148587/148587	---MC-	200	added ('OK')	application/json	date:Thu,%2016%20May%202024%2009:25:40%20GMT	https://billsakshi.com/wp-json/wp/v2/pages/1204	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-json/wp/v2/pages/1204.json	(from https://billsakshi.com/)
14:55:42	798/798	---M-Z	200	added ('OK')	text/xml	date:Thu,%2016%20May%202024%2009:25:42%20GMT	https://billsakshi.com/xmlrpc.php?rsd	/home/ramps/Desktop/bilsakshi/billsakshi.com/xmlrpc0db0.php	(from https://billsakshi.com/)
14:55:44	2017/2017	---MC-	200	added ('OK')	application/json	date:Thu,%2016%20May%202024%2009:25:42%20GMT	https://billsakshi.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbillsakshi.com%2F	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-json/oembed/1.0/embedec3d.json	(from https://billsakshi.com/)
14:55:44	2179/2179	---M-Z	200	added ('OK')	text/xml	date:Thu,%2016%20May%202024%2009:25:43%20GMT	https://billsakshi.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbillsakshi.com%2F&format=xml	/home/ramps/Desktop/bilsakshi/billsakshi.com/wp-json/oembed/1.0/embedcc1e	(from https://billsakshi.com/)
